City_ID,City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,4,ganshui,28.7422,106.7111,281.15,90,100,0.83,CN,1706661761
150,5,xinzhi,36.4989,111.7047,276.46,61,100,1.69,CN,1706661761
151,6,vernon,50.2581,-119.2691,281.27,92,100,0.51,CA,1706661621
152,7,nagqu,31.5,92.0,260.82,53,100,1.69,CN,1706661761
153,8,behshahr,36.6923,53.5526,278.12,81,37,2.21,IR,1706661761
154,9,ust-nera,64.5667,143.2,242.06,99,100,1.97,RU,1706661761
155,10,puerto aysen,-45.4,-72.7,286.76,98,100,2.14,CL,1706661762
156,11,karratha,-20.7377,116.8463,302.14,63,42,2.88,AU,1706661762
157,12,jamaame,0.0697,42.745,298.95,83,100,4.74,SO,1706661762
158,13,port blair,11.6667,92.75,298.17,94,20,1.03,IN,1706661762
159,14,tralee,52.2704,-9.7026,277.53,92,100,3.43,IE,1706661762
160,15,novyy urengoy,66.0833,76.6333,250.54,96,30,6.35,RU,1706661762
161,16,rongelap,11.1635,166.8941,299.16,73,100,8.52,MH,1706661763
162,17,chonchi,-42.6128,-73.8092,291.71,87,100,1.19,CL,1706661763
163,18,colonia,50.9333,6.95,281.46,80,100,3.6,DE,1706661590
164,19,khabary,53.6259,79.5345,252.45,96,51,3.3,RU,1706661763
165,20,las heras,-46.5419,-68.9359,292.5,44,100,12.24,AR,1706661763
166,21,greenville,35.6127,-77.3663,280.44,75,0,1.54,US,1706661497
167,22,saint-pierre,-21.3393,55.4781,298.97,78,0,1.54,RE,1706661763
168,23,tome acu,-2.4189,-48.1522,297.66,92,100,0.87,BR,1706661763
169,24,prien,30.1819,-93.2738,291.16,71,0,4.12,US,1706661763
170,25,fiambala,-27.6871,-67.6149,300.93,33,94,2.32,AR,1706661764
171,26,arteche,12.2645,125.4048,299.64,78,99,6.49,PH,1706661764
172,27,kupang,-10.1667,123.5833,302.47,89,75,4.12,ID,1706661764
173,28,gizo,-8.103,156.8419,301.07,74,100,4.87,SB,1706661764
174,29,salinopolis,-0.6136,-47.3561,299.55,85,100,4.11,BR,1706661764
175,30,andergrove,-21.0833,149.1833,306.29,70,76,0.93,AU,1706661764
176,32,saipan,15.1355,145.701,300.54,61,75,8.75,MP,1706661764
177,33,castillos,-34.1667,-53.8333,291.55,84,0,2.28,UY,1706661765
178,34,zapolyarnyy,69.4154,30.8136,275.75,83,100,14.45,RU,1706661765
179,35,margate,51.3813,1.3862,280.32,90,100,1.43,GB,1706661765
180,36,manhattan,40.7834,-73.9662,276.12,78,100,6.17,US,1706661533
181,37,kerikeri,-35.2268,173.9474,299.43,54,27,3.75,NZ,1706661765
182,38,choyr,46.3611,108.3611,243.48,99,50,1.53,MN,1706661765
183,39,terrace,54.5163,-128.6035,281.1,93,75,2.06,CA,1706661765
184,40,tuy hoa,13.0833,109.3,295.62,88,98,1.57,VN,1706661765
185,41,st. john's,47.5649,-52.7093,268.59,82,100,8.94,CA,1706661652
186,42,isafjordur,66.0755,-23.124,269.87,80,62,4.67,IS,1706661766
187,43,college,64.8569,-147.8028,247.12,64,75,0.0,US,1706661766
188,44,ondo,7.1,4.8333,295.79,74,66,0.92,NG,1706661766
189,45,sabathu,30.9719,76.9933,282.52,57,91,5.14,IN,1706661766
190,46,brisas de zicatela,15.8369,-97.0419,301.44,69,20,2.06,MX,1706661766
191,47,tazovsky,67.4667,78.7,252.19,92,90,6.62,RU,1706661766
192,49,papatowai,-46.5619,169.4708,291.83,58,100,3.27,NZ,1706661766
193,50,borogontsy,62.6683,131.1683,233.52,100,47,0.93,RU,1706661766
194,1,north shore,-36.8,174.75,302.3,56,0,1.34,NZ,1706661767
195,2,pauls valley,34.7401,-97.2223,290.32,45,0,2.06,US,1706661767
196,3,al qadarif,14.0349,35.3834,294.26,27,65,5.82,SD,1706661767
197,4,hualien city,23.9769,121.6044,295.84,77,45,1.68,TW,1706661767
198,5,kirensk,57.7853,108.1119,232.02,100,49,0.89,RU,1706661507
199,6,alta,69.9689,23.2717,276.74,76,100,8.23,NO,1706661767
200,7,opuwo,-18.0607,13.84,296.37,65,100,0.21,NA,1706661767
201,8,nha trang,12.25,109.1833,297.15,84,93,2.0,VN,1706661767
202,9,victorica,-36.2151,-65.4359,298.19,57,100,5.19,AR,1706661767
203,10,wailua homesteads,22.0669,-159.378,298.22,79,75,3.09,US,1706661767
204,11,rio rico,31.4715,-110.9765,292.95,37,0,3.09,US,1706661768
205,12,laminusa,5.5549,120.9136,300.12,81,99,1.08,PH,1706661768
206,13,ballenger creek,39.3726,-77.4353,278.18,78,100,2.57,US,1706661768
207,14,kavieng,-2.5744,150.7967,302.0,76,100,3.61,PG,1706661768
208,15,island harbour,50.724,-1.2758,280.49,82,18,0.08,GB,1706661768
209,16,touros,-5.1989,-35.4608,300.54,74,3,5.5,BR,1706661768
210,17,vilyuchinsk,52.9306,158.4028,258.3,63,100,2.68,RU,1706661768
211,18,east london,-33.0153,27.9116,295.21,85,100,5.03,ZA,1706661768
212,19,minot,48.2325,-101.2963,281.27,71,0,5.66,US,1706661769
213,20,susuman,62.7833,148.1667,237.03,100,100,0.45,RU,1706661769
214,21,cape coast,5.1053,-1.2466,299.51,86,3,4.06,GH,1706661769
215,22,namtsy,62.7161,129.6658,236.3,99,95,0.13,RU,1706661769
216,23,lubumbashi,-11.6609,27.4794,290.17,96,15,0.84,CD,1706661769
217,24,burela de cabo,43.65,-7.4,284.83,79,94,1.69,ES,1706661769
218,25,marka,1.7159,44.7717,298.71,81,60,7.4,SO,1706661769
219,26,al jubayl,27.0112,49.6583,292.97,68,8,2.4,SA,1706661769
220,28,velasco ibarra,-1.05,-79.6167,297.21,97,100,1.93,EC,1706661770
221,29,ebaye,8.7748,167.7392,301.16,74,40,8.23,MH,1706661770
